Source,Target,combined_score,from_ALS,from_FTD
UBQLN2,TARDBP,0.968,NO,YES
UBQLN2,FUS,0.952,NO,YES
UBQLN2,CHMP2B,0.775,NO,YES
UBQLN2,C9orf72,0.871,NO,YES
UBQLN2,VCP,0.938,NO,YES
VCP,TARDBP,0.964,NO,YES
VCP,FUS,0.832,NO,YES
VCP,CHMP2B,0.858,NO,YES
VCP,UBQLN2,0.938,NO,YES
VCP,C9orf72,0.856,NO,YES
ACTB,GABARAPL2,0.525,YES,NO
ACTB,PSMC4,0.418,YES,NO
ACTB,TNFRSF1A,0.523,YES,NO
ACTB,UQCRC1,0.42,YES,NO
ACTB,MAPK13,0.452,YES,NO
ACTB,MAPK12,0.456,YES,NO
ACTB,XBP1,0.634,YES,NO
ACTB,PSMA3,0.415,YES,NO
ACTB,TUBB1,0.591,YES,NO
ACTB,DCTN6,0.916,YES,NO
ACTB,PSMA2,0.519,YES,NO
ACTB,PFN1,0.999,YES,NO
ACTB,MAPK14,0.573,YES,NO
ACTB,TARDBP,0.529,YES,NO
ACTB,TUBA4A,0.825,YES,NO
ACTB,FUS,0.477,YES,NO
ACTB,ACTR10,0.987,YES,NO
ACTB,EIF2S1,0.598,YES,NO
ACTB,DCTN3,0.896,YES,NO
ACTB,TUBB2B,0.584,YES,NO
ACTB,ATP5F1B,0.638,YES,NO
ACTB,PIK3C3,0.448,YES,NO
ACTB,NDUFS3,0.42,YES,NO
ACTB,TUBB4A,0.801,YES,NO
ACTB,PSMD3,0.507,YES,NO
ACTB,SDHA,0.692,YES,NO
ACTB,NDUFA9,0.406,YES,NO
ACTB,UQCRC2,0.525,YES,NO
ACTB,TP53,0.879,YES,NO
ACTB,SOD1,0.658,YES,NO
ACTB,RAB5A,0.502,YES,NO
ACTB,SLC1A2,0.435,YES,NO
ACTB,NRG1,0.492,YES,NO
ACTB,ACTR1B,0.542,YES,NO
ACTB,GRIN2C,0.506,YES,NO
ACTB,BAX,0.611,YES,NO
ACTB,GRIA2,0.447,YES,NO
ACTB,NDUFB8,0.464,YES,NO
ACTB,DCTN5,0.922,YES,NO
ACTB,GABARAP,0.464,YES,NO
ACTB,EIF2AK3,0.772,YES,NO
ACTB,CYCS,0.871,YES,NO
ACTB,CASP3,0.989,YES,NO
ACTB,NEFH,0.4,YES,NO
ACTB,TUBA3E,0.543,YES,NO
ACTB,TUBB6,0.759,YES,NO
ACTB,TUBB3,0.731,YES,NO
ACTB,PFN4,0.999,YES,NO
ACTB,HSPA5,0.808,YES,NO
ACTB,ULK1,0.412,YES,NO
ACTB,TUBA3D,0.663,YES,NO
ACTB,NOS2,0.576,YES,NO
ACTB,TBK1,0.562,YES,NO
ACTB,CASP9,0.819,YES,NO
ACTB,GRIN2A,0.535,YES,NO
ACTB,TUBA8,0.55,YES,NO
ACTB,MAPK11,0.474,YES,NO
ACTB,ATF4,0.548,YES,NO
ACTB,TUBA1B,0.782,YES,NO
ACTB,TUBB,0.844,YES,NO
ACTB,TUBB4B,0.672,YES,NO
ACTB,HNRNPA1,0.704,YES,NO
ACTB,ERBB4,0.448,YES,NO
ACTB,MAP2K3,0.409,YES,NO
ACTB,HNRNPA2B1,0.613,YES,NO
ACTB,PFN3,0.999,YES,NO
ACTB,VCP,0.728,YES,NO
ACTB,MAP3K5,0.447,YES,NO
ACTB,MT-CO1,0.57,YES,NO
ACTB,MT-CYB,0.522,YES,NO
ACTB,MTOR,0.752,YES,NO
ACTB,GPX6,0.59,YES,NO
ACTB,GPX7,0.594,YES,NO
ACTB,MT-ND1,0.429,YES,NO
ACTB,DCTN1,0.971,YES,NO
ACTB,MT-CO2,0.56,YES,NO
ACTB,BECN1,0.785,YES,NO
ACTB,PRKN,0.711,YES,NO
ACTB,ATF6,0.627,YES,NO
ACTB,SDHC,0.766,YES,NO
ACTB,ACTR1A,0.977,YES,NO
ACTB,PSMA7,0.637,YES,NO
ACTB,GRIN1,0.438,YES,NO
ACTB,ITPR3,0.402,YES,NO
ACTB,PINK1,0.547,YES,NO
ACTB,SDHB,0.632,YES,NO
ACTB,BCL2L1,0.784,YES,NO
ACTB,COX4I2,0.5,YES,NO
ACTB,HDAC6,0.716,YES,NO
ACTB,TUBB2A,0.832,YES,NO
ACTB,TUBAL3,0.566,YES,NO
ACTB,GPX3,0.593,YES,NO
ACTB,GPX2,0.593,YES,NO
ACTB,SQSTM1,0.725,YES,NO
ACTB,VDAC1,0.864,YES,NO
ACTB,BCL2,0.885,YES,NO
ACTB,ATP5F1A,0.642,YES,NO
ACTB,GPX5,0.591,YES,NO
ACTB,TNF,0.847,YES,NO
ACTB,ERN1,0.644,YES,NO
ACTB,DCTN2,0.95,YES,NO
ACTB,GABARAPL1,0.473,YES,NO
ACTB,PSMA1,0.569,YES,NO
ACTB,DCTN4,0.945,YES,NO
ACTB,GPX8,0.594,YES,NO
ACTB,GRIA1,0.545,YES,NO
ACTB,CASP1,0.729,YES,NO
ACTB,TUBA1A,0.838,YES,NO
ACTB,TUBA1C,0.825,YES,NO
ACTB,APAF1,0.572,YES,NO
ACTB,DDIT3,0.593,YES,NO
ACTB,COX4I1,0.763,YES,NO
ACTB,ACTG1,0.999,YES,NO
ACTB,GRIN2B,0.738,YES,NO
ACTB,NOS1,0.625,YES,NO
ACTB,NEFL,0.441,YES,NO
ACTB,PSMB3,0.543,YES,NO
ACTG1,PFN1,0.992,YES,NO
ACTG1,TRAF2,0.688,YES,NO
ACTG1,TUBA4A,0.547,YES,NO
ACTG1,ACTR10,0.573,YES,NO
ACTG1,TUBB2B,0.478,YES,NO
ACTG1,ATP5F1B,0.484,YES,NO
ACTG1,ACTR1B,0.442,YES,NO
ACTG1,DCTN5,0.433,YES,NO
ACTG1,CYCS,0.533,YES,NO
ACTG1,CASP3,0.922,YES,NO
ACTG1,TUBA3E,0.507,YES,NO
ACTG1,TUBB6,0.439,YES,NO
ACTG1,PFN4,0.991,YES,NO
ACTG1,HSPA5,0.475,YES,NO
ACTG1,TUBA8,0.579,YES,NO
ACTG1,TUBA1B,0.726,YES,NO
ACTG1,TUBB,0.773,YES,NO
ACTG1,TUBB4B,0.522,YES,NO
ACTG1,ATP5F1C,0.591,YES,NO
ACTG1,PFN3,0.987,YES,NO
ACTG1,VCP,0.516,YES,NO
ACTG1,DCTN1,0.442,YES,NO
ACTG1,ACTR1A,0.652,YES,NO
ACTG1,NDUFA8,0.402,YES,NO
ACTG1,TUBB2A,0.725,YES,NO
ACTG1,TUBAL3,0.546,YES,NO
ACTG1,ATP5F1A,0.511,YES,NO
ACTG1,DCTN2,0.58,YES,NO
ACTG1,DCTN4,0.559,YES,NO
ACTG1,TUBA1A,0.788,YES,NO
ACTG1,TUBA1C,0.754,YES,NO
ACTG1,ACTB,0.999,YES,NO
ACTR10,DCTN6,0.999,YES,NO
ACTR10,TUBB4B,0.408,YES,NO
ACTR10,PFN4,0.435,YES,NO
ACTR10,KLC2,0.557,YES,NO
ACTR10,KLC4,0.564,YES,NO
ACTR10,ACTG1,0.573,YES,NO
ACTR10,KIF5A,0.578,YES,NO
ACTR10,KLC3,0.585,YES,NO
ACTR10,KIF5B,0.593,YES,NO
ACTR10,KLC1,0.617,YES,NO
ACTR10,SOD1,0.69,YES,NO
ACTR10,HAP1,0.831,YES,NO
ACTR10,ACTB,0.987,YES,NO
ACTR10,ACTR1B,0.995,YES,NO
ACTR10,DCTN3,0.996,YES,NO
ACTR10,DCTN2,0.999,YES,NO
ACTR10,DCTN1,0.999,YES,NO
ACTR10,DCTN5,0.999,YES,NO
ACTR10,DCTN4,0.999,YES,NO
ACTR10,ACTR1A,0.999,YES,NO
ACTR1A,DCTN6,0.999,YES,NO
ACTR1A,PFN1,0.477,YES,NO
ACTR1A,ACTR10,0.999,YES,NO
ACTR1A,DCTN3,0.998,YES,NO
ACTR1A,KLC4,0.573,YES,NO
ACTR1A,SOD1,0.662,YES,NO
ACTR1A,ACTR1B,0.992,YES,NO
ACTR1A,DCTN5,0.999,YES,NO
ACTR1A,RAB8A,0.552,YES,NO
ACTR1A,KIF5B,0.624,YES,NO
ACTR1A,PFN4,0.483,YES,NO
ACTR1A,HAP1,0.88,YES,NO
ACTR1A,TUBB4B,0.459,YES,NO
ACTR1A,VCP,0.506,YES,NO
ACTR1A,DCTN1,0.999,YES,NO
ACTR1A,DNAH10,0.43,YES,NO
ACTR1A,OPTN,0.506,YES,NO
ACTR1A,KIF5A,0.556,YES,NO
ACTR1A,KLC3,0.576,YES,NO
ACTR1A,KLC2,0.608,YES,NO
ACTR1A,ACTG1,0.652,YES,NO
ACTR1A,KLC1,0.674,YES,NO
ACTR1A,ACTB,0.977,YES,NO
ACTR1A,DCTN4,0.999,YES,NO
ACTR1A,DCTN2,0.999,YES,NO
ACTR1B,DCTN6,0.993,YES,NO
ACTR1B,ACTR10,0.995,YES,NO
ACTR1B,DCTN3,0.992,YES,NO
ACTR1B,SOD1,0.664,YES,NO
ACTR1B,TUBA1C,0.416,YES,NO
ACTR1B,ACTG1,0.442,YES,NO
ACTR1B,PFN4,0.505,YES,NO
ACTR1B,UQCRH,0.509,YES,NO
ACTR1B,ACTB,0.542,YES,NO
ACTR1B,HAP1,0.8,YES,NO
ACTR1B,ACTR1A,0.992,YES,NO
ACTR1B,DCTN5,0.993,YES,NO
ACTR1B,DCTN1,0.997,YES,NO
ACTR1B,DCTN2,0.998,YES,NO
ACTR1B,DCTN4,0.998,YES,NO
ADRM1,PSMA4,0.978,YES,NO
ADRM1,PSMC4,0.999,YES,NO
ADRM1,PSMD8,0.999,YES,NO
ADRM1,PSMA3,0.96,YES,NO
ADRM1,PSMD7,0.999,YES,NO
ADRM1,PSMA2,0.972,YES,NO
ADRM1,EIF2S1,0.468,YES,NO
ADRM1,PSMB7,0.921,YES,NO
ADRM1,PSMC1,0.999,YES,NO
ADRM1,PSMA6,0.967,YES,NO
ADRM1,PSMD11,0.999,YES,NO
ADRM1,PSMB1,0.98,YES,NO
ADRM1,PSMD3,0.999,YES,NO
ADRM1,SOD1,0.819,YES,NO
ADRM1,PSMB6,0.945,YES,NO
ADRM1,PSMA5,0.975,YES,NO
ADRM1,PSMB4,0.967,YES,NO
