Species A,Gene A,Species B,Gene B,Score
Homo sapiens,BCKDHA,Homo sapiens,COX7C,1.593568554
Homo sapiens,COX6C,Homo sapiens,COX7C,1.566861705
Homo sapiens,COX7A2L,Homo sapiens,COX7C,1.599422987
Homo sapiens,COX7C,Homo sapiens,ACTB,1.576942729
Homo sapiens,COX7C,Homo sapiens,ASPH,1.45553173
Homo sapiens,COX7C,Homo sapiens,ATP5C1,1.486795503
Homo sapiens,COX7C,Homo sapiens,BCL2L13,1.568321645
Homo sapiens,COX7C,Homo sapiens,C20orf24,1.592328397
Homo sapiens,COX7C,Homo sapiens,CALR,1.461432178
Homo sapiens,COX7C,Homo sapiens,CANX,1.697569611
Homo sapiens,COX7C,Homo sapiens,CORO1C,1.552254266
Homo sapiens,COX7C,Homo sapiens,CPT1A,1.544536388
Homo sapiens,COX7C,Homo sapiens,HADHA,1.783662841
Homo sapiens,COX7C,Homo sapiens,HADHB,1.737549887
Homo sapiens,COX7C,Homo sapiens,IMMT,1.450243963
Homo sapiens,COX7C,Homo sapiens,MINOS1,1.649651682
Homo sapiens,COX7C,Homo sapiens,MTCH2,1.49451935
Homo sapiens,COX7C,Homo sapiens,MYL12A,1.633918701
Homo sapiens,COX7C,Homo sapiens,NDUFA9,1.589046104
Homo sapiens,COX7C,Homo sapiens,NDUFS1,1.576154017
Homo sapiens,COX7C,Homo sapiens,NDUFV1,1.629821264
Homo sapiens,COX7C,Homo sapiens,PSMA6,1.537435647
Homo sapiens,COX7C,Homo sapiens,SCCPDH,1.607362198
Homo sapiens,COX7C,Homo sapiens,TFAM,1.545888032
Homo sapiens,COX7C,Homo sapiens,TOMM22,1.603139838
Homo sapiens,COX7C,Homo sapiens,TOMM5,1.592434793
Homo sapiens,COX7C,Homo sapiens,UQCRC1,1.58342605
Homo sapiens,COX7C,Homo sapiens,UQCRC2,1.492991853
Homo sapiens,COX7C,Homo sapiens,VCP,1.59098707
Homo sapiens,COX7C,Homo sapiens,VDAC1,1.598951958
Homo sapiens,COX7C,Homo sapiens,VDAC2,1.74758962
Homo sapiens,COX7C,Homo sapiens,VDAC3,1.628724678
Homo sapiens,COX7C,Homo sapiens,ZNF782,1.5058346
Homo sapiens,COX8A,Homo sapiens,COX7C,1.668422496
